"","LUNCHNUMBER","QLang1","QMA13","QMA33","QMA41_2","QMMRT28","QMMRT29","QICC25","QICC24","QCOG3","QCOG20"
"121",638097,749,1,1,0,0,1,0,0,0,0
"122",638138,750,1,0,1,0,0,0,0,1,0
"123",638146,749,1,1,1,0,1,1,0,0,0
"124",638163,750,1,1,0,0,1,1,1,1,0
"125",638224,750,1,0,1,0,0,0,0,1,0
"126",638492,749,0,0,0,1,1,1,1,0,0
"127",638573,749,1,1,0,0,0,1,1,0,0
"128",638629,749,0,0,1,0,0,0,0,0,0
"129",638640,749,1,1,1,0,1,1,1,0,0
"130",638966,0,0,0,0,0,0,0,0,0,0
"131",638995,749,0,0,0,0,1,0,0,0,0
"132",639050,750,1,1,1,0,0,1,0,1,1
"133",639670,749,1,1,0,1,0,0,0,0,0
"134",639753,749,0,1,1,0,0,1,1,0,0
"135",639854,749,0,1,1,0,0,1,1,0,0
"136",639867,750,1,0,1,0,0,0,1,0,0
"137",639889,749,1,1,1,1,1,0,0,0,0
"138",640218,749,1,1,1,0,1,0,0,0,0
"139",640288,750,1,0,1,0,0,1,1,0,0
"140",640464,749,1,1,1,0,0,1,1,0,0
"141",640747,749,0,1,1,0,1,0,0,0,0
"142",640790,749,0,0,1,0,1,1,1,0,0
"143",640793,749,1,0,1,1,0,0,1,0,0
"144",640875,750,0,1,0,0,0,1,1,0,0
"145",640887,749,1,1,1,1,0,0,1,0,0
"146",640895,749,0,1,0,1,0,0,1,0,1
"147",641353,752,1,1,1,0,1,1,1,0,0
"148",641543,749,1,0,0,1,1,1,1,0,0
"149",641936,749,0,0,1,1,0,0,1,0,1
"150",642018,749,1,0,1,1,1,1,1,0,0
"151",642045,750,0,1,0,1,0,1,0,1,0
"152",642187,749,0,0,0,1,1,0,1,0,0
"153",642645,752,1,1,1,0,0,0,0,0,0
"154",642650,752,1,0,0,1,1,1,1,0,0
"155",642712,749,1,0,1,1,1,1,1,0,0
"156",642761,750,0,0,0,0,1,1,1,1,0
"157",643205,749,0,0,0,0,1,0,1,1,0
"158",643226,749,0,0,0,0,0,0,1,0,0
"159",643352,749,1,0,1,0,1,0,1,0,0
"160",643424,750,1,1,0,1,0,0,1,1,1
"161",643429,749,1,1,1,0,0,0,1,0,0
"162",643564,750,0,0,0,0,0,0,1,0,0
"163",643797,750,0,1,0,0,1,0,1,0,0
"164",643922,749,0,0,0,0,0,0,0,0,0
"165",644066,749,0,0,1,0,1,0,1,0,0
"166",644072,761,0,1,1,0,0,1,1,0,0
"167",644084,749,1,1,0,0,0,0,1,0,0
